Id;ID_1;;Ph;P;K;Mg;Horiz_alt;Otief;Utief;Gskel_koernung;Gs_koernung;Ms_koernung;Fs_koernung;Gu_koernung;Mu_koernung;Fu_koernung;T_koernung;Bodenart_ka4_koernung;Ph.1;X_coord;Y_coord
1;110;0;6.3;25.4;16;7.3;Ap;0;3;1.1;1.4;5.8;27.6;39.5;11;2.9;11.8;Uls;7.33;4428062;5749930
2;111;1;7;88;23;7.4;Ap;0;3;3.4;3.2;14.7;6.9;42.1;10.6;5.9;16.6;Uls;7.26;4427932;5749890
3;112;2;6.1;11.7;22;8.2;Ap;0;3;1.5;2.1;6.5;3.9;47.1;13.7;6.2;20.5;Ut4;5.87;4428028;5749724
4;113;3;6.6;7.8;18;7.8;Ap;0;3;0.04;0.8;1.1;1.7;53.3;13.7;6.5;22.9;Ut4;6.79;4428092;5749577
5;114;4;6;4.6;16;7.6;Ap;0;3;0.2;0.6;1.1;1.7;52.3;16.1;7.6;20.6;Ut4;5.77;4428089;5749360
6;115;5;5.5;4.4;19;6.9;Ap;0;3;0.4;0.8;1.5;2.8;52.8;15.2;6.6;20.3;Ut4;6.3;4428105;5749189
7;117;7;5.2;5.5;13;5.9;Ap;0;3;1.3;2.2;2.9;3.9;52.4;14.5;7.2;16.9;Ut3;5.79;4428129;5748889
8;118;8;5.2;12.6;17;5.8;Ap;0;3;26.2;8.3;8.7;8.9;43.9;10;6.2;14;Uls;5.21;4428086;5748785
9;119;9;5.3;9.5;17;6.7;Ap;0;3;24.7;8.9;9.7;9.3;42.9;12;5.6;11.6;Uls;7.25;4427954;5748947
10;120;10;6.5;14.27884615;22;7;Ap;0;3;10.5;8.4;8;8.7;40.3;11.5;6.1;17;Lu;6.27;4427887;5749114
11;121;11;6.1;7.2;28;9.1;Ap;0;3;1.2;2.6;2.5;6.4;48;15.2;4.5;20.8;Ut4;6.81;4427836;5749319
12;122;12;5.5;7.1;21;7;Ap;0;3;33.9;7.3;8.8;7.3;44.3;12.5;4.3;15.5;Uls;5.86;4427950;5749243
13;123;13;6;5.1;19;7.6;Ap;0;3;0.2;0.7;1.5;2.6;52;15.7;5.8;21.7;Ut4;6.04;4427929;5749496
14;124;14;6.4;7.9;22;9.5;Ap;0;3;0.6;1.1;2.2;4.3;50.6;13.7;6;22.1;Ut4;6.29;4427807;5749625
15;125;15;6.3;9.5;34;7.6;Ap;0;3;1;2.2;2.6;4.5;51.5;13.4;6;19.8;Ut4;5.88;4427786;5749495
16;126;16;6.9;21.1;25;5.1;Ap;0;3;8.7;2.4;3;7.3;44.6;12.5;7.6;22.6;Lu;7.05;4427579;5749612
17;127;17;6.7;17;24;6.6;Ap;0;3;12.7;5.7;7.3;7.7;42.9;10.3;4;22.1;Lu;7.1;4427668;5749765
18;128;18;6.2;31.3;31;9.7;Ap;0;3;0.5;1.3;3.2;5.7;47.8;11.7;6.4;23.9;Ut4;5.49;4427780;5749847
19;129;19;7.1;23.6;29;5.9;Ap;0;3;3.3;2.9;3.8;5;47.6;11.6;5.1;24;Lu;7.36;4427563;5749885
20;130;20;7;24.3;32;7.3;Ap;0;3;0.9;3.2;3.1;13.3;100;13.34807692;5;16.7;Uls;7.02;4427461;5749819
21;132;22;7.2;25;21;3;Ap;0;3;2.6;28.8;7.5;23.1;19.1;5.8;3.8;11.9;Sl3;7.29;4427303;5749690
22;133;23;7;20.5;18;4.1;Ap;0;3;6.6;21.2;6.9;40.2;14.8;2.9;3.1;10.9;Sl3;6.78;4427560;5749481
23;134;24;6.7;11.1;20;7;Ap;0;3;32.8;22.1;12.2;16.8;23.3;8.7;6.9;10;Sl3;6.35;4427704;5749249
24;135;25;7.1;7.6;17;7.586;Ap;0;3;3.2;0.3;0.7;4.6;57.4;14.8;6.6;15.6;Ut3;7.49;4427785;5749011
25;136;26;6.2;5.9;22;8.7;Ap;0;3;0.6;0.8;1.7;6.8;51.5;15.9;7.2;16.1;Ut3;6.22;4427618;5749083
26;137;27;6.5;6.1;19;10.4;Ap;0;3;0.3;0.5;0.8;5.2;52.5;14.6;7.5;18.9;Ut4;6.8;4427660;5748900
27;138;28;7.2;8.5;16;7.5;Ap;0;3;0.2;0.4;1;6.7;46.1;17.5;8.6;19.7;Ut4;7.4;4427849;5748858
28;139;29;5.7;3.4;16;8.8;Ap;0;3;0.2;0.3;0.8;5.1;48.1;17.6;6.1;22;Ut4;5.16;4427440;5748925
29;140;30;6.1;3.6;14;8.2;Ap;0;3;0.2;0.5;0.8;4.7;53.1;13;6.6;21.3;Ut4;6.56;4427476;5749111
30;141;31;6.6;7;20;7.9;Ap;0;3;0.4;0.4;0.7;4.3;58.7;15.1;4.2;16.6;Ut3;7.46;4427512;5749330
31;142;32;7;11.4;18;5.6;Ap;0;3;0.3;1.4;1.9;11;47.1;15;4.9;18.7;Ut4;7.19;4427357;5749507
32;143;33;7.3;16.5;26;6.9;Ap;0;3;0.2;1.1;1.4;7.2;51.4;15.1;6.6;17.2;Ut4;7.41;4427194;5749687
33;144;34;7.4;13.7;18;8.8;Ap;0;3;0.2;0.8;1.1;5.2;50.7;14.5;6.8;20.9;Ut4;7.42;4427095;5749673
34;145;35;7.3;12.2;19;6.4;Ap;0;3;0.2;0.3;0.9;7.6;50.3;16.5;7.7;16.7;Ut3;7.46;4427179;5749506
35;146;36;7.1;11;24;7.5;Ap;0;3;11.1;2.8;2.8;16.8;30.4;9.3;8.5;29.4;Lt2;7.31;4427373;5749355
36;147;37;6.3;4.1;19;8.3;Ap;0;3;0.7;1.3;1.7;7.3;48.4;14.3;7.6;19.4;Ut4;6.51;4427351;5749188
37;148;38;0;6.7;25;7.586;Ap;0;3;5;2.7;2.9;13.6;43.7;11.7;7;18.4;Lu;4.93;4427197;5749195
38;149;39;7.2;7.7;29;6.2;Ap;0;3;15.9;7.8;5.7;14.6;100;12.2;9;24.7;Ls2;7.43;4427135;5749339
39;150;40;7.3;11.3;17;8.8;Ap;0;3;0.2;0.4;0.7;8.1;46.4;18.6;9.6;16.2;Ut3;7.33;4427010;5749504
40;151;41;7.2;13.7;21;10.2;Ap;0;3;0.1;0.7;1.3;5.7;47.6;18.7;6.2;19.8;Ut4;7.32;4426918;5749618
41;152;42;7.3;15.8;18;6.8;Ap;0;3;1.6;1;0.9;10.7;47.4;15.2;6.2;18.6;Ut4;7.44;4426723;5749512
42;153;43;7.3;13.5;18;11.3;Ap;0;3;0.1;0.3;1;7.3;60.1;10.4;5.6;15.3;Ut3;7.44;4426881;5749397
43;154;44;7.2;15;28;7.7;Ap;0;3;1.1;1.7;2;22;40.2;12.4;6.5;15.2;Uls;7.16;4426941;5749277
44;156;46;6.4;21.8;29;8.4;Ap;0;3;9.2;2.5;2.8;15.6;42.6;15.1;6.6;14.8;Uls;6.37;4427115;5749038
45;157;47;5.6;6.4;20;7.586;Ap;0;3;0.5;0.5;2.5;8.5;44.5;17.8;7.5;18.7;Ut4;5.01;4427237;5748957
46;159;49;7.2;14.6;22;7.1;Ap;0;3;0.1;0.4;0.9;7.4;49.5;15.3;7.5;19;Ut4;7.41;4426762;5749297
47;160;50;0;19.1;20;8.1;Ap;0;3;1.2;0.7;0.9;10.3;54.6;11.9;8.1;13.5;Ut3;7.09;4426567;5749453
48;161;51;7.1;12.1;17;10.8;Ap;0;3;0.1;0.4;1;8.8;48.4;14.9;8.1;18.4;Ut4;7.18;4426632;5749287
49;162;52;7.3;14.2;18;7.5;Ap;0;3;5;1.3;2.1;18.2;43.7;12.3;4.6;17.8;Lu;7.41;4426676;5749108
50;163;53;7.3;18.2;17;8.6;Ap;0;3;1.6;1.4;1.6;19.6;36.1;12.7;4.8;23.8;Lu;7.43;4426481;5749154
51;164;54;7.3;25.5;20;8;Ap;0;3;1;1.4;1.2;9.7;52.4;12.3;5.5;17.5;Ut4;7.44;4426426;5749333
52;165;55;6.9;14.5;17;8.5;Ap;0;3;0.6;1.1;1.4;14.5;47.5;14.6;5;15.9;Ut3;6.06;4426255;5749196
53;166;56;7.2;21.2;19;6.2;Ap;0;3;1.3;1.3;1.8;15.1;50;12.5;4.4;14.9;Ut3;7.31;4426093;5749162
